New	Nouveau
The Help file, %s, could not be found. What's This? Help (Help within dialogs) will not be available without this Help file. Would you like to search for this file now?	The Help file, %s, could not be found. What's This? Help (Help within dialogs) will not be available without this Help file. Would you like to search for this file now?
Sharing Violation Error	Sharing Violation Error
Low Memory!\r\nNot enough free memory for this operation.	Low Memory!\r\nNot enough free memory for this operation.
Button	Button
Edit Control	Edit Control
Static	Static
List Box	List Box
Horizontal Scroll Bar	Horizontal Scroll Bar
Vertical Scroll Bar	Vertical Scroll Bar
Combo Box	Combo Box
Group Box	Group Box
Check Box	Check Box
Radio Button	Radio Button
Owner Draw Button	Owner Draw Button
Static Text	Static Text
Frame	Frame
Rectangle	Rectangle
Image	Image
Animation Control	Animation Control
List View Control	List View Control
Tree View Control	Tree View Control
Slider Control	Slider Control
Progress Bar Control	Progress Bar Control
Up-Down Control	Up-Down Control
Tab Control	Tab Control
Hot-Key Control	Hot-Key Control
Custom Control	Custom Control
OK Button	OK Button
Cancel Button	Cancel Button
Generated	Generated
In Progress	In Progress
For Review	For Review
Completed	Completed
Ignored	Ignored
Linked	Linked
YES	YES
NO	NO
The help text has been modified.\nWould you like to save?	The help text has been modified.\nWould you like to save?
REGISTERED_	REGISTERED_
PictureBox	PictureBox
Label	Label
TextBox	TextBox
CommandButton	CommandButton
CheckBox	CheckBox
OptionButton	OptionButton
ComboBox	ComboBox
ListBox	ListBox
HScrollBar	HScrollBar
VScrollBar	VScrollBar
Timer	Timer
DriveListBox	DriveListBox
DirListBox	DirListBox
FileListBox	FileListBox
Shape	Shape
Line	Line
Data	Data
OLE	OLE
RichTextBox	RichTextBox
TabStrip	TabStrip
ToolBar	ToolBar
StatusBar	StatusBar
ProgressBar	ProgressBar
TreeView	TreeView
ImageList	ImageList
ListView	ListView
Slider	Slider
SpinButton	SpinButton
Grid	Grid
Menu	Menu
Click this button to make your choice.	Click this button to make your choice.
Enter your input in this field.	Enter your input in this field.
Choose an item from the list.	Choose an item from the list.
Check your desired options.	Check your desired options.
Select your preferred option.	Select your preferred option.
Drag the slider to select your preferred value	Drag the slider to select your preferred value
Use the arrows to select your preferred value.	Use the arrows to select your preferred value.
Closes this dialog and saves any changes you have made.	Closes this dialog and saves any changes you have made.
Closes this dialog without saving any changes you have made.	Closes this dialog without saving any changes you have made.
What's This Help (.HLP) file	What's This Help (.HLP) file
Help Files (*.HLP)|*.hlp|All Files (*.*)|*.*|	Help Files (*.HLP)|*.hlp|All Files (*.*)|*.*|
hlp	hlp
Blue Sky Software Corporation	Blue Sky Software Corporation
User RunTime Communication DLL	User RunTime Communication DLL
2.00.039	2.00.039
CtxHlp User RunTime DLL	CtxHlp User RunTime DLL
Copyright © 1996 - 1997 Blue Sky Software Corp.	Copyright © 1996 - 1997 Blue Sky Software Corp.
CSH.DLL	CSH.DLL
What's This? Help Composer	What's This? Help Composer
File	Fichier
Save	Enregistrer
Save As...	Enregistrer sous...
Close	Fermer
Edit	Edition
Copy	Copier
Ctrl+C	Ctrl+C
Symbol	Indice
*	*
Add New Stock...	Add New Stock...
Refresh all Quotes	Refresh all Quotes
Ticker Preferences...	Ticker Preferences...
Sign on a Friend	Faire découvrir AIM à un ami
New User Wizard	Assistant
#E8021F	#E8021F
#E80220	#E80220
Help	?
Help Topics	Rubriques d'aide
Search	Rechercher
How to Use Help	Comment utiliser l'aide
Report a Bug	Signaler un bug
About AOL Instant Messenger (SM)...	A propos d'AIM, AOL Messager
#E80221	#E80221
#E80222	#E80222
#E80223	#E80223
#E80224	#E80224
#E80225	#E80225
#E80226	#E80226
Find a Buddy	Rechercher un contact
Find a Buddy Wizard	Assistant
By E-mail Address	Par son adresse électronique
By Name and Address	Par son nom et son adresse
#E80227	#E80227
#E80228	#E80228
#E80229	#E80229
#E8022A	#E8022A
#E8022B	#E8022B
#E8022C	#E8022C
Options	Options
Edit Preferences...	Modifier les options...
Edit Directory Entry	Modifier la carte de visite
Change Password...	Changer de mot de passe...
Format Screen Name...	Format du pseudonyme...
Update E-mail Address...	Mettre à jour l'adresse électronique...
#E8022D	#E8022D
#E8022E	#E8022E
#E8022F	#E8022F
Always On Top	Fenêtre au premier plan
#E80230	#E80230
#E80231	#E80231
Load/Save	Load/Save
Load Buddy List...	Charger un répertoire de contacts...
Save Buddy List...	Enregistrer le répertoire...
#E80232	#E80232
#E80233	#E80233
I'm Away	Message d'absence
#E80234	#E80234
#E80235	#E80235
Sign Off	Fermer
Exit	Quitter
Save...	Enregistrer...
Create Shortcut	Créer un raccourci
Print...	Imprimer...
Cut	Couper
Ctrl+X	Ctrl+X
Paste	Coller
Ctrl+V	Ctrl+V
View	Affichage
Timestamp	Horodateur
F2	F2
People	Contacts
Info...	Informations utilisateur...
Send Buddy Chat Invitation...	Inviter à une discussion...
Connect to Send IM Image	Envoyer une image
Close IM Image Connection	Quitter le transfert d'images
Connect to Talk...	Connexion vocale...
Add to Buddy List...	Ajouter un contact au répertoire...
Warn...	Blâmer...
Block...	Exclure...
Select Buddy Icon...	Attribuer une icône...
Select All	Tout sélectionner
Invite a Buddy...	Inviter un contact...
Get Info...	Informations sur le contact...
Add To Buddy List...	Ajouter au répertoire...
Edit Chat Preferences...	Modifier les options de discussion...
Chat Room Info...	Informations sur le salon de discussion...
F1	F1
My AIM	Mon AIM
Away Message	Message d'absence
PLACEHOLDER-DONOTDELETE	PLACEHOLDER-DONOTDELETE
Edit Profile...	Carte de visite...
Edit Options	Options
Confirm Account	Confirm Account
Keep Buddy List on Top	Fenêtre au premier plan
Read Mail	Read Mail
Send Mail...	Envoyer un fichier...
Mail Alert Window...	Mail Alert Window...
News Ticker...	Ticker Infos
Stock Ticker Detail Window...	Stock Ticker Detail Window...
Top Picks	Top Picks
Switch Screen Name...	Utiliser un pseudonyme différent...
Sign On A Friend...	Faire découvrir AIM à un ami...
Get Member Info...	Informations sur le contact
Alt-O	Alt-O
Send Instant Message...	Envoyer un message
Alt-I	Alt-V
Alt-C	Alt-D
Send Mail...	Send Mail...
Send IM Image...	Envoyer une image
Alt-T	Alt-X
Send File to Buddy...	Envoyer un fichier...
Get File from Buddy...	Récupérer un fichier...
Edit Buddy List	Modifier le répertoire
Add Buddy	Nouveau contact
Add Group	Nouveau groupe
Edit Name	Modifier le nom
Delete	Supprimer
Block Buddy...	Exclure un utilisateur
Unblock Buddy...	Admettre un utilisateur
Find a Buddy Wizard...	Rechercher un contact par l'assistant...
By E-mail Address...	Par son adresse électronique
By Name and Address...	Par son nom et son adresse
By Common Interest...	By Common Interest...
Help	Aide
New User Wizard...	Assistant AIM...
How to Use Help...	Comment utiliser l'aide...
Help Topics...	Rubriques d'aide...
Buddy List Help...	Aide du répertoire...
Frequently Asked Questions...	Questions fréquentes...
Search the Web	Rechercher sur le Web
Search the Yellow Pages	Search the Yellow Pages
Search the White Pages	Search the White Pages
Stock Alert List	Stock Alert List
Alerts for	Alerts for
List1	List1
Add	Add
Remove	Supprimer
Reset	Réinitialiser
Run alerts only on weekdays	Run alerts only on weekdays
Run alerts only from	Run alerts only from
DateTimePicker1	DateTimePicker1
DateTimePicker2	DateTimePicker2
Note: If any alerts have tripped they will not run again until the next time you sign on or until you click the Reset button.	Note: If any alerts have tripped they will not run again until the next time you sign on or until you click the Reset button.
to	to
Edit	Modifier
Add A Stock	Ajouter un titre
Lookup Symbol	Rechercher un code SICOVAM
DJIA	CAC40
NASDAQ	SBF120
AMEX	Second Marché
NYSE Composite	NYSE Composite
SP 100	MIDCAC
SP 500	SBF250
Russell 2000	Russell 2000
Enter a stock symbol or choose one or more of the indices below:	Entrez le code d'une valeur ou sélectionnez un ou plusieurs marchés parmi les cases à cocher ci-dessous.
Stock Alert	Stock Alert
Enabled	Enabled
Alert for	Alert for
Notify me when:	Notify me when:
Showing the alert notification window	Showing the alert notification window
Playing sound:	Playing sound:
Browse	Parcourir...
Preview	Test
Notify me by:	Notify me by:
Dialog	Informations sur les invitations
Buddy Chat invitations can not be sent to the following people because they are signed on through AOL.  You can only chat with people signed on through AOL Instant Messenger (SM).	Les invitations ne peuvent pas être envoyées aux personnes suivantes car elles sont actuellement connectées à AOL. Vous ne pouvez discuter qu'avec des personnes connectées à AIM.
Buddy Chat Invitation	Choisir un salon pour les invitations
Current Room	Salon actuel
New Room	Nouveau salon
Do you want to send invitations for the Buddy Chat room that you are currently in or for a new Buddy Chat room.	Dans quel salon voulez-vous inviter vos contacts ?
AOL Instant Messenger (SM) Screen Name	AIM, AOL Messager - Pseudonyme
Yes	Oui
No	Non
Do you wish to register an additional screen name for AOL Instant Messenger (SM)?	Voulez-vous créer un autre pseudonyme ?
Sign On	Connexion
Screen Name	Pseudonyme :
Password	Mot de passe :
Save password	Enregistrer le mot de passe
Auto-login	Connexion automatique
Separator	Separator
Connecting to AOL Instant Messenger (SM)...	Connexion à AIM, AOL Messager
Connecting...	Connexion en cours...
Buddy Chat Invitation Error	Erreur concernant l'invitation
New User Registration	Enregistrement - Nouvel utilisateur
If you are a new user of AOL Instant Messenger (SM) and have not yet registered a screen name you must do so before using this service.	Si vous êtes un nouvel utilisateur d'AIM et que vous n'avez pas encore de pseudonyme, vous devez d'abord en créer un pour pouvoir y accéder.
If you have a registered screen name click Cancel and enter it in the Screen Name field of the Sign On window.	Si vous disposez déjà d'un pseudonyme, cliquez sur Annuler et tapez votre pseudonyme dans le champ correspondant de la boîte de dialogue Connexion.
If you are an AOL member, use your AOL screen name for the AOL Instant Messenger (SM) service.  Otherwise you will need to register a new screen name.	Si vous êtes un abonné AOL, utilisez votre pseudonyme AOL sur AIM. Sinon, vous devrez en définir un nouveau.
Register new screen name	Créer un pseudonyme
Use AOL screen name	Utiliser un pseudonyme AOL
Buddy Found	Nouveau contact
Add Buddy...	Ajouter...
The Internet friend you invited has registered the screen names listed below.  To add one of the screen names to your Buddy List, complete the steps below.	La personne que vous avez invitée à découvrir AIM s'est enregistrée auprès de notre service avec les pseudonymes ci-dessous. Pour ajouter l'un d'eux à votre répertoire, effectuez les étapes indiquées.
1. Select the screen name you want to add.	1. Sélectionnez un pseudonyme.
2. Click the Add Buddy button.	2. Cliquez sur Ajouter.
3. Select a group you want to add your buddy to.	3. Sélectionnez le groupe auquel vous voulez ajouter ce pseudonyme.
E-mail:	Adresse électronique :
Screen Name(s):	Pseudonyme(s) :
Invitation Date:	Date d'invitation :
The Internet friend you invited has registered, but does not wish to reveal his or her screen name.  Please send e-mail to your friend to ask for his or her AOL Instant Messenger(SM) screen name.	La personne que vous avez invitée à vous rejoindre sur AIM s'est enregistrée auprès de notre service mais ne souhaite pas communiquer son pseudonyme. Envoyez-lui un courrier électronique pour le lui demander.
Add Buddies	Ajouter un contact
New Group...	Nouveau groupe...
Please choose which group to add the buddies into:	Sélectionnez le groupe auquel vous souhaitez ajouter le contact.
Group name:	Groupe :
Buddies to add:	Contacts à ajouter :
NetFind	Rechercher sur le Web
Go	Lancer
Find a Person	Rechercher un contact
Find a Business	Find a Business
About...	A propos d'AIM, AOL Messager
America Online holds the exclusive copyright for the AOL Instant Messenger (TM) software.\n\nA portion of this software is derived from the RSA Data Security, Inc. MD5 Message-Digest Algorithm.	America Online détient des droits de copyright exclusifs sur le logiciel AIM, AOL Messager.\n\nCe logiciel est en partie dérivé de RSA Data Security, Inc. MD5 Message-Digest Algorithm.
Version \r\nCopyright	Version \r\nCopyright
Buddy	Répertoire
Buddy List Font	Police du répertoire
Size:	Taille :
Dim buddies after they have been idle for	Mettre en grisé le nom des interlocuteurs après
minutes	minutes d'inactivité
Flash Buddy List window when buddies sign on or off	Signaler la connexion/déconnexion d'interlocuteurs par un clignotement
Show Taskbar button when Buddy List window is minimized	Afficher le bouton dans la barre des tâches lorsque la fenêtre de répertoire est réduite.
Buddy List window can be "docked" on left or right of screen	Buddy List window can be "docked" on left or right of screen
Privacy	Confidentialité
Allow all users to contact me	Tous les utilisateurs
Allow only users on my Buddy List	Les utilisateurs figurant dans mon répertoire
Allow only the users below	Les utilisateurs de la liste ci-dessous, uniquement
Block all users	Exclure tous les utilisateurs
Block the users below	Exclure les utilisateurs ci-dessous
Allow List	Utilisateurs admis
Block List	Utilisateurs exclus
Add Name	Ajouter
... how long I've been idle	Mon délai d'inactivité
Who can contact me	Qui peut me contacter :
Allow users to see...	Communiquer aux autres utilisateurs :
Allow users who know my e-mail address to find...	Permettre aux utilisateurs qui connaissent mon adresse électronique de :
My screen name	Connaître mon pseudonyme
Only that I have an account	Savoir que je suis enregistré à AIM
Nothing about me	Ne rien apprendre de moi
Sounds	Sons
Play a sound when buddies sign on	Signal sonore lors de la connexion d'un utilisateur
Browse...	Parcourir...
Play a sound when buddies sign off	Signal sonore lors de la déconnexion d'un utilisateur
Buddy Sounds	Utilisateurs
Play a sound when first message is received	Signal sonore à la réception du premier message
Play a sound when receiving a message	Signal sonore à la réception d'un message
Play a sound when sending a message	Signal sonore lors de l'envoi d'un message
IM Sounds	Messages
Wizard	Assistant AIM
<< Back	<< Précédent
Next >>	Suivant >>
Finish	Terminer
PropertySheet	PropertySheet
Error Info	Informations relatives à l'erreur
ATE	ATE
Printing in Progress...	Impression en cours...
Recording in progress for maximum of 10 sec	Durée maximale de l'enregistrement en cours : 10 secondes.
Send	Envoyer
Done	Terminer
Show Hyperlink	Afficher l'hyperlien
Hyperlink URL:	URL :
Launch	Lancer
Edit Hyperlink	Modifier un hyperlien
Remove Link	Supprimer le lien
Hyperlink Text:	Texte de l'hyperlien :
Use Current	URL en cours
Find	Rechercher
Find What:	Rechercher :
From Top	Depuis le début
Match Case	Distinction majuscules/minuscules
Direction	Sens
Up	Haut
Down	Bas
Find Next	Suivant
AOL Instant Messenger (SM)	AIM, AOL Messager
Do not ask me this again.	Ne plus afficher ce message
Are you sure you want to end your session?	Voulez-vous vraiment mettre fin à cette session ?
Edit Current Picture Size	Modifier la taille de l'image
Picture Width (pixels)	Largeur de l'image (pixels) :
Picture Height (pixels)	Hauteur de l'image (pixels) :
Picture Border (pixels)	Bordure (pixels) :
Reset	Rétablir
Change Password	Changer de mot de passe
Current password:	Mot de passe en cours :
New password:	Nouveau mot de passe :
To change your password, enter your current password and two copies of your new password below.  Your new password must be between 4 and 16 characters long.	Pour changer de mot de passe, entrez d'abord le mot de passe en cours, puis deux fois le nouveau mot de passe. Le nombre de caractères autorisés est compris entre 4 et 16.
Format Screen Name	Modifier le format du pseudonyme
New screen name:	Nouveau pseudonyme :
To change your screen name, enter your new screen name below.  The new screen name must be the same as the old, except for changes in capitalization and spacing.	Apportez les modifications souhaitées à votre pseudonyme dans le champ ci-dessous. Rappel : les modifications autorisées s'appliquent uniquement aux majuscules/minuscules et à l'espace entre les caractères.
Update E-mail Address	Mettre à jour de l'adresse électronique
To update your e-mail address, enter the new address below.  A confirmation e-mail, to which you must reply, will be sent to your new address.	Pour mettre à jour votre adresse électronique, complétez les champs ci-dessous. Un message de confirmation auquel vous devrez répondre sera envoyé à votre nouvelle adresse.
Current e-mail address:	Adresse actuelle :
New e-mail address:	Nouvelle adresse :
Status	Etat
Error	Erreur
Information	Information
Dialog	Compte temporaire
You currently have a temporary trial account.  To convert you account to a permanent account, click the OK button below.	Vous diposez actuellement d'un compte temporaire. Cliquez sur OK pour le transformer en compte permanent.
General	Options générales
Automatically sign on when AIM starts	Connexion automatique au lancement d'AIM
Start AIM when Windows starts	Lancement d'AIM au démarrage de Windows
Notify me when a new version is available:	Notify me when a new version is available:
Internet Connection	Connexion Internet
Modem	Modem
Local area network	Réseau local
IM	Fenêtre Message
Enter key inserts Return	Passer à la ligne avec la touche Entrée
Tab key inserts Tab	Insérer un retrait avec la touche Tab
Always view timestamp	Toujours afficher l'horodateur
Disable graphical smilies	Désactiver les smileys graphiques
Show 'Accept Message'	Afficher la boîte de dialogue 'Accepter
dialog for messages from users not in Buddy List	le message' lorsqu'un utilisateur ne figurant pas dans votre répertoire essaye de vous contacter.
Defaults for Composing Windows	Propriétés de la fenêtre
Font...	Police...
Window Color...	Couleur de la fenêtre
Text Magnification	Zoom
200	200
133	133
100	100
75	75
Save Buddy List	Enregistrer le répertoire
This feature allows you to save your Buddy List, current preferences, etc. as a text file that you can later import to restore this configuration on any computer.	Cette fonction vous permet d'enregistrer votre répertoire de contacts AIM, vos paramètres personnalisés, etc. sous forme de fichier texte. Par la suite, il vous suffira d'importer ce fichier pour restaurer votre propre configuration sur tout poste où vous utiliserez AIM.
Check the items you would like to save below:	Cochez les éléments à sauvegarder :
Load Buddy List	Importer un répertoire
Load	Importer
This feature is used to load settings, such as your Buddy List and preferences, that were previously saved as a text file.	Cette fonction permet d'importer des données (votre répertoire de contacts AIM, par exemple, ou un ensemble de paramètres personnalisés) préalablement enregistrées sous forme de fichier texte.
Check the items you would like to load below:	Cochez, dans la liste ci-dessous, les éléments que vous souhaitez importer.
Import/Export File Association	Associer des fichiers d'importation/exportation
Don't ask this question again	Ne plus demander confirmation à l'avenir
Would you like to associate .blt files with AOL Instant Messenger (SM)?	Souhaitez-vous associer les fichiers .blt à AIM ?
Type :	Type :
Open Command :	Commande d'ouverture :
Content Type :	Type de contenu :
AOL Instant Messenger uses "blt" as the filename extension for its Import/Export files. If you would like to use AOL Instant Messenger when opening these files click Yes. If you would like leave the association as is, click No.	AIM attribue l'extension "blt" aux fichiers d'importation/exportation. Si vous souhaitez ouvrir ces fichiers avec AIM, cliquez sur Oui. Si vous ne souhaitez pas modifier cette association, cliquez sur Non.
Files with a filename extension of "blt" are currently associated with another application by Windows as shown below:	Windows associe actuellement les fichiers dont l'extension est "blt" à une autre application :
Select Directory	Sélectionner un répertoire
Read Only	En lecture seule
Select a Folder:	Sélectionnez un dossier :
Drives:	Lecteurs :
Browser Path	Chemin d'accès du navigateur
Enter the path of the browser that you would like to use for viewing Web documents.	Tapez le chemin d'accès du navigateur à l'aide duquel vous souhaitez visualiser vos documents web.
E-mail Program Path	Chemin d'accès du logiciel de courrier électronique
Enter the path of the e-mail program that you would like to use for sending e-mail.	Tapez le chemin d'accès du logiciel de courrier électronique que vous souhaitez utiliser pour envoyer des messages.
AOL Program Path	Chemin d'accès à AOL
If America Online is installed on this\r\ncomputer enter the path of the program (AOL.EXE) below.	Si le logiciel AOL est installé sur votre ordinateur, tapez le chemin d'accès au programme (AOL.EXE).
Missed Call	Messages non transmis
You missed one or more messages from other users.  Below is a list of those users and the reasons that the messages failed to reach you.	Certains messages ne vous sont pas parvenus. Voici la liste des personnes ayant essayé de vous joindre et les raisons pour lesquelles leurs messages ne vous sont pas parvenus.
Send Warning	Emettre un blâme
Check this if you don't want your screen name revealed.  Anonymous warnings are less severe.	Cochez cette case si vous ne souhaitez pas que votre pseudonyme soit communiqué. Les blâmes anonymes sont moins sévères.
Warn anonymously	Blâme anonyme
Warn	Blâmer
Unsupported Rendezvous Request	Service de rendez-vous non pris en charge
Click on the following URL to find out more about the unsupported service	Ce service n'étant pas pris en charge, cliquez sur l'URL suivante afin d'en savoir plus.
Warning: The following URL contains more info about this service, but it may contain objectionable material; make sure you know and trust your buddy	Attention ! L'URL contient des informations complémentaires sur ce service dont nous ignorons la nature. Vous seul pouvez savoir si votre interlocuteur mérite votre confiance.
Accept Message	Accepter le message
Don't display this dialog again.	Ne plus afficher cette fenêtre
User "%s" has sent you a message.\nWould you like to accept it?	"%s" vous adresse un message.\n L'acceptez-vous ?
Warning level: %d%%	Niveau de pénalités : %d%%
AIM administrators will never ask you for your password or other personal information.  Do not give such information to anyone you don't know and trust!	Les administrateurs d'AIM ne vous demanderont jamais votre mot de passe ou autre donnée confidentielle. Ne communiquez ces informations qu'à des personnes en qui vous avez entièrement confiance !
%s:	%s
My Info	Profil personnel
Enter text for your personal profile below:	Tapez un texte pour votre profil personnel :
Away	Message d'absence
When idle:	En cas d'inactivité :
Auto respond with message:	Répondre automatiquement par :
When away:	En cas d'absence :
Auto respond and insert in personal profile	Envoyer la réponse automatique et insérer le message dans le profil personnel
Insert in personal profile only	Insérer le message dans le profil personnel uniquement
Hide IM windows while I'm Away	Masquer la fenêtre Message d'absence
Disable sounds while I'm Away	Désactiver les sons
Away messages:	Messages :
Labels for menu:	Titres des messages dans le menu Mon AIM :
Text for selected label:	Texte du message sélectionné :
Add Message	Nouveau message
I'm Away	Absent
Current Away Message	Message d'absence actuel
The following Away message has been set.	Le message d'absence suivant a été défini.
The following Away message has been set.  It will be sent to any member who sends you an IM.	Le message d'absence suivant a été défini. Il sera envoyé à toute personne vous adressant un message.
Because the Accept Message dialog is enabled, the following will only be sent to users on your Buddy List.	L'affichage de la boîte de dialogue Accepter le message étant activé, ce message ne sera envoyé qu'aux utilisateurs figurant dans votre répertoire.
Received	Messages reçus :
Click the 'I'm Back' button to quit being Away	Pour désactiver ce message, cliquez sur Présent.
I'm Back	Présent
Edit Away Message	Nouveau message d'absence
Enter label:	Titre :
Enter new Away message:	Tapez votre message :
Special Characters:	Commutateurs à votre disposition :
%n	%n
= Screen name of buddy	= pseudonyme du contact
%d	%d
= Current date	= date courante
%t	%t
= Current time	= heure courante
Save for later use	Enregistrer pour une utilisation ultérieure
Connection	Connexion
Server	Serveur
Host:	Hôte :
Port:	Port :
Connect using proxy	Se connecter par proxy
Proxy Server	Serveur Proxy
Protocol	Protocole
SOCKS 4	SOCKS 4
SOCKS 5	SOCKS 5
HTTPS	HTTPS
Authentication	Authentification
Username:	ID utilisateur :
Password:	Mot de passe :
Use proxy to resolve hostnames	Résolution des noms de hôte par proxy
Some HTTPS servers may disconnect you from AOL Instant Messenger without warning.	Certains serveurs HTTPS peuvent vous déconnecter d'AIM sans avertissement.
Reconnect automatically	Maintenir la connexion
Display reconnect dialog	Afficher la boîte de dialogue de connexion
Auto Configure...	Configuration automatique...
Automatic Configuration	Configuration automatique
AOL Instant Messenger (SM) can automatically analyze your network and configure itself to connect to a server.  Use this feature if the default connection settings do not work.	AIM analyse automatiquement votre réseau et s'auto-configure pour se connecter au serveur. Si la connexion par défaut échoue, utilisez cette fonctionnalité.
Click "OK" to begin the configuration process.  Before doing so, make sure that your computer is connected to the Internet, either by connecting it to your company's internal network or by dialing in to your Internet service provider.	Cliquez sur OK pour démarrer la configuration. Auparavant, vérifiez la connexion Internet de votre ordinateur en vous connectant au réseau interne de votre société ou à votre fournisseur d'accès à Internet.
This process can take several minutes.  During the process, a dialog showing its progress will be presented.  You will have the opportunity to cancel at any time.	Cette opération peut prendre quelques minutes. Une boîte de dialogue vous en indiquera la progression et vous pourrez l'annuler à tout moment.
Automatic Configuration - SUCCEEDED!	Configuration automatique réussie
Click "OK" to update the Connection dialog to reflect the new configuration.   Then click either "OK" or "Apply" in the Connection dialog to save the configuration.	Cliquez sur OK pour que les nouveaux paramètres soient pris en compte dans la boîte de dialogue Connexion. Pour enregistrer la nouvelle configuration, cliquez ensuite sur OK ou sur Appliquer.
AOL Instant Messenger (SM) has successfully located a server that is accessible from your computer.	AIM a pu accéder à un serveur à partir de votre ordinateur.
Automatic Configuration - FAILED!	Echec de la configuration automatique
AOL Instant Messenger (SM) was unable to establish a connection to a server.	AIM n'a pas pu établir la connexion au serveur.
If your organization connects to the Internet through a firewall, you may need to configure AOL Instant Messenger (SM) to connect through a SOCKS or HTTPS proxy server.	Si, dans votre entreprise, les connexions à Internet s'effectuent via un firewall, il est probablement nécessaire de configurer AIM pour une connexion via un serveur proxy SOCKS ou HTTPS.
Contact your network administrator for details on how to fill out the Proxy section of the Connection dialog.	Adressez-vous à votre administrateur réseau pour compléter la section appropriée de la boîte de dialogue Connexion.
AOL Instant Messenger (SM) is analyzing your network.  Please wait...	AIM analyse votre réseau. Veuillez patienter...
Attempting to connect to:	Tentative de connexion à :
Software Upgrade Required	Mise à jour du logiciel requise
Upgrade	Mettre à jour
