New	Neu
Radio Button	Rundes Optionsfeld
Owner Draw Button	Schaltfläche mit eigenem Design
Static Text	Statischer Text
Frame	Rahmen
Rectangle	Rechteck
Image	Grafik
Animation Control	Animationssteuerung
List View Control	Listenansichtssteuerung
Tree View Control	Baumansichtssteuerung
Slider Control	Schieberegler
Progress Bar Control	Fortschrittsleistensteuerung
Up-Down Control	Oben-Unten-Steuerung
Tab Control	Tab-Steuerung
Hot-Key Control	Hot-Key-Steuerung
Custom Control	Benutzerspezifische Steuerung
OK Button	OK-Schaltfläche
Cancel Button	Abbrechen-Schaltfläche
Generated	Generiert
In Progress	In Verarbeitung
For Review	Zur Prüfung
Completed	Abgeschlossen
Ignored	Ignoriert
Linked	Verknüpft
YES	JA
NO	NEIN
The help text has been modified.\nWould you like to save?	Der Hilfetext wurde geändert.\nWollen Sie ihn speichern?
REGISTERED_	REGISTRIERT_
PictureBox	Grafikfeld
Label	Etikett
TextBox	Textfeld
CommandButton	Befehlsschaltfläche
CheckBox	Kontrollkästchen
OptionButton	Optionsschaltfläche
ComboBox	Kombinationsfeld
ListBox	Listenfeld
HScrollBar	HBildlaufleiste
VScrollBar	VBildlaufleiste
Timer	Zeitgeber
DriveListBox	LaufwListfeld
DirListBox	VerzListfeld
FileListBox	DateiListfeld
Shape	Form
Line	Linie
Data	Daten
OLE	OLE
RichTextBox	RichTextFeld
TabStrip	TabStrip
ToolBar	Funktionsleiste
StatusBar	Statusleiste
ProgressBar	Fortschrittsleiste
TreeView	Baumansicht
ImageList	Grafikliste
ListView	Listenansicht
Slider	Schieberegler
SpinButton	Drehknopf
Grid	Raster
Menu	Menü
Click this button to make your choice.	Klicken Sie auf diese Schaltfläche, um Ihre Wahl zu treffen..
Enter your input in this field.	Tragen Sie Ihre Eingabe in dieses Feld ein.
Choose an item from the list.	Wählen Sie ein Element aus der Liste.
Check your desired options.	Markieren Sie die gewünschten Optionen.
Select your preferred option.	Wählen Sie die gewünschte Option aus.
Drag the slider to select your preferred value	Ziehen Sie den Schieberegler auf den gewünschten Wert.
Use the arrows to select your preferred value.	Verwenden Sie die Pfeiltasten, um den gewünschten Wert auszuwählen.
Closes this dialog and saves any changes you have made.	Schließt dieses Dialogfeld und speichert die vorgenommenen Änderungen.
Closes this dialog without saving any changes you have made.	Schließt dieses Dialogfeld, ohne die vorgenommenen Änderungen zu speichern.
Click this button to make your choice.	Klicken Sie auf diese Schaltfläche, um Ihre Wahl zu treffen.
Drag the slider to select your preferred value	Ziehen Sie den Schieberegler, um den gewünschten Wert auszuwählen.
What's This Help (.HLP) file	Was ist das-Hilfedatei (.HLP)
Help Files (*.HLP)|*.hlp|All Files (*.*)|*.*|	Hilfedateien (*.HLP)|*.hlp|Alle Dateien (*.*)|*.*|
hlp	hlp
Blue Sky Software Corporation	Blue Sky Software Corporation
User RunTime Communication DLL	User RunTime Communication DLL
2.00.039	2.00.039
CtxHlp User RunTime DLL	CtxHlp User RunTime DLL
Copyright © 1996 - 1997 Blue Sky Software Corp.	Copyright © 1996 - 1997 Blue Sky Software Corp.
CSH.DLL	CSH.DLL
What's This? Help Composer	What's This? Help Composer
File	Datei
Save	Speichern
Save As...	Speichern unter..
Close	Schließen
Edit	Bearbeiten
Copy	Kopieren
Ctrl+C	Strg+C
Symbol	Symbol
*	*
Add New Stock...	Neue Börse hinzufügen...
Refresh all Quotes	Alle Notierungen auffrischen
Ticker Preferences...	Ticker-Voreinstellungen...
Sign on a Friend	Einen Freund anmelden...
New User Wizard	Neuer Benutzerassistent
#E8021F	#E8021F
#E80220	#E80220
Help Topics	Hilfethemen
Search	Suchen
How to Use Help	Hilfe verwenden
Report a Bug	Bug melden
About AOL Instant Messenger (SM)...	Info über AOL Instant Messenger(SM)...
#E80221	#E80221
#E80222	#E80222
#E80223	#E80223
#E80224	#E80224
#E80225	#E80225
#E80226	#E80226
Find a Buddy	Buddy suchen
Find a Buddy Wizard	Buddy-Assistenten suchen...
By E-mail Address	Nach eMail-Adresse
By Name and Address	Nach Name und Adresse
#E80227	#E80227
#E80228	#E80228
#E80229	#E80229
#E8022A	#E8022A
#E8022B	#E8022B
#E8022C	#E8022C
Options	Einstellungen
Edit Preferences...	Voreinstellungen bearbeiten...
Edit Directory Entry	Verzeichniseintrag bearbeiten
Change Password...	Passwort ändern...
Format Screen Name...	AIM-Namen formatieren...
Update E-mail Address...	eMail Adresse aktualisieren...
#E8022D	#E8022D
#E8022E	#E8022E
#E8022F	#E8022F
Always On Top	Immer oben
#E80230	#E80230
#E80231	#E80231
Load/Save	Laden/Speichern
Load Buddy List...	Buddy-Liste laden...
Save Buddy List...	Buddy-Liste speichern...
#E80232	#E80232
#E80233	#E80233
I'm Away	Abwesend
#E80234	#E80234
#E80235	#E80235
Sign Off	Abmelden
Exit	Beenden
Save...	Speichern
Create Shortcut	Verknüpfung erstellen
Print...	Drucken
Cut	Ausschneiden
Ctrl+X	Strg+X
Paste	Einfügen
Ctrl+V	Strg+V
View	Anzeigen
Timestamp	Uhrzeit
F2	F2
People	Leute
Info...	Infos...
Send Buddy Chat Invitation...	Buddy-Chateinladung abschicken...
Connect to Send IM Image	Verbindung mit IM-Grafiken senden herstellen
Close IM Image Connection	IM-Grafikverbindung schließen
Connect to Talk...	Gesprächsverbindung...
Add to Buddy List...	Zu Buddy-Liste hinzufügen...
Warn...	Warnen...
Block...	Sperren...
Select Buddy Icon...	Buddy-Symbol wählen...
Select All	Alles markieren
Invite a Buddy...	Buddy einladen
Get Info...	Infos
Edit Chat Preferences...	Chat-Voreinstellungen bearbeiten...
Chat Room Info...	Infos zum Chat-Raum...
F1	F1
My AIM	Mein AIM
Away Message	Abwesenheitsmitteilung
PLACEHOLDER-DONOTDELETE	PLACEHOLDER-DONOTDELETE
Edit Profile...	Profil bearbeiten...
Edit Options	Optionen bearbeiten
Confirm Account	Confirm Account
Keep Buddy List on Top	Buddy-Liste immer oben
Read Mail	Telegramm lesen
Send Mail...	Telegramm abschicken...
Mail Alert Window...	Telegramm-Alert...
News Ticker...	NewsTicker...
Stock Ticker Detail Window...	Börsen-Ticker-Detailfenster..
Top Picks	Top Picks
Switch Screen Name...	AIM-Namen wechseln...
Sign On A Friend...	Einen Freund anmelden...
Get Member Info...	Mitgliedsinfo erhalten...
Alt-O	Alt-O
Send Instant Message...	Telegramm abschicken...
Alt-I	Alt-I
Alt-C	Alt-C
Send Mail...	Telegramm verschicken...
Send IM Image...	Send IM Image...
Alt-T	Alt-T
Send File to Buddy...	Datei an Buddy senden...
Get File from Buddy...	Datei von Buddy erhalten...
Edit Buddy List	Buddy-Liste bearbeiten
Add Buddy	Buddy hinzufügen
Add Group	Gruppe hinzufügen
Edit Name	Namen bearbeiten
Delete	Löschen
Block Buddy...	Block Buddy...
Unblock Buddy...	Unblock Buddy...
Find a Buddy Wizard...	Buddy-Assistenten suchen...
By E-mail Address...	Nach eMail-Adresse...
By Name and Address...	Nach Name und Adresse..
By Common Interest...	Nach gemeinsamen Interessen...
New User Wizard...	Neuer Benutzerassistent...
How to Use Help...	Hilfe verwenden...
Help Topics...	Hilfethemen...
Buddy List Help...	Hilfe zur Buddy-Liste...
Frequently Asked Questions...	FAQs...
Search the Web	Finden im Web
Search the Yellow Pages	Gelbe Seiten durchsuchen
Search the White Pages	Weiße Seiten durchsuchen
Stock Alert List	Börsen-Alertliste
Alerts for	Alerts für
List1	Liste1
Add	Hinzufügen
Remove	Entfernen
Reset	Rückgängig
Run alerts only on weekdays	Alerts nur an Wochentagen
Run alerts only from	Alerts nur von:
DateTimePicker1	DateTimePicker1
DateTimePicker2	DateTimePicker2
Note: If any alerts have tripped they will not run again until the next time you sign on or until you click the Reset button.	Hinweis: Falls irgendwelche Alerts einen Fehler auslösen, werden sie nicht wiederholt, bis Sie sich zum nächsten Mal anmelden bzw. auf "Rückgängig" klicken.
to	bis
Add A Stock	Börse hinzufügen
Lookup Symbol	Nachschlagesymbol
DJIA	DJIA
NASDAQ	NASDAQ
AMEX	AMEX
NYSE Composite	NYSE Composite
SP 100	SP 100
SP 500	SP 500
Russell 2000	Russell 2000
Enter a stock symbol or choose one or more of the indices below:	Geben Sie ein Börsensymbol ein, oder wählen Sie aus den folgenden Indizes:
Stock Alert	Börsen-Alert
Enabled	Aktiviert
Alert for	Alert für
Notify me when:	Benachrichtigen, wenn:
Showing the alert notification window	Altertfenster wird angezeigt
Playing sound:	Ton abspielen:
Browse	Durchsuchen
Preview	Anhören
Notify me by:	Benachrichtigungsart:
Dialog	Dialog
Buddy Chat invitations can not be sent to the following people because they are signed on through AOL.  You can only chat with people signed on through AOL Instant Messenger (SM).	Buddy Chat-Einladungen können nicht an folgende Personen geschickt werden, weil diese über AOL angemeldet sind. Sie können nur mit Personen chatten, die über AOL Instant Messenger(SM) angemeldet sind.
Buddy Chat Invitation	Einladung zum Chat
Current Room	Aktueller Raum
New Room	Neuer Raum
Do you want to send invitations for the Buddy Chat room that you are currently in or for a new Buddy Chat room.	Möchten Sie Ihre Einladungen für den Chat-Raum, in dem Sie sich jetzt befinden, oder für einen neuen Chat-Raum verschicken?\r\rAchtung: Wenn Sie sich für einen neuen Chat-Raum entscheiden, verlassen Sie automatisch den Raum, in dem Sie sich jetzt befinden.
AOL Instant Messenger (SM) Screen Name	AOL Instant Messenger(SM) AIM-Name
Yes	Ja
No	Nein
Do you wish to register an additional screen name for AOL Instant Messenger (SM)?	Möchten Sie einen zusätzlichen AIM-Namen für AOL Instant Messenger(SM) registrieren?
Sign On	Anmelden
Screen Name	AIM-Name
Password	Passwort
Save password	Passwort speichern
Auto-login	Autom. anmelden
Separator	Separator
Forgot Password?	Haben Sie Ihr Passwort vergessen?
Connecting to AOL Instant Messenger (SM)...	Verbindung zum AOL Instant Messenger(SM)...
Connecting...	Verbindung wird hergestellt...
Buddy Chat Invitation Error	Buddy-Chat Einladungsfehler
New User Registration	Neuen Benutzer registrieren
If you are a new user of AOL Instant Messenger (SM) and have not yet registered a screen name you must do so before using this service.	Falls Sie ein neuer Benutzer von AOL Instant Messenger(SM) sind und Ihren AIM-Namen noch nicht registriert haben, so müssen Sie dies tun, bevor Sie diesen Service verwenden können.
If you have a registered screen name click Cancel and enter it in the Screen Name field of the Sign On window.	Falls Sie einen registrierten AIM-Namen besitzen, klicken Sie auf "Abbrechen" und geben diesen in das Feld "AIM-Name" im Anmeldefenster ein.
If you are an AOL member, use your AOL screen name for the AOL Instant Messenger (SM) service.  Otherwise you will need to register a new screen name.	Falls Sie AOL-Mitglied sind, verwenden Sie Ihren AOL AIM-Namen für den AOL Instant Messenger(SM)-Service. Andernfalls müssen Sie einen neuen AIM-Namen registrieren.
Register new screen name	Neuen AIM-Namen registrieren
Use AOL screen name	AOL AIM-Namen verwenden
Buddy Found	Buddy gefunden
Add Buddy...	Buddy hinzufügen...
The Internet friend you invited has registered the screen names listed below.  To add one of the screen names to your Buddy List, complete the steps below.	Der von Ihnen eingeladene Internet-Freund hat sich unter dem angegebenen AIM-Namen registriert. Um in der Liste Ihrer Buddies einen der Aim-Namen hinzuzufügen, führen Sie folgende Schritte aus.
1. Select the screen name you want to add.	1. Wählen Sie den AIM-Namen aus.
2. Click the Add Buddy button.	2. Klicken Sie auf "Buddy hinzufügen".
3. Select a group you want to add your buddy to.	3. Fügen Sie den Buddy einer Gruppe hinzu.
E-mail:	eMail:
Screen Name(s):	AIM-Name(n):
Invitation Date:	Wann eingeladen:
The Internet friend you invited has registered, but does not wish to reveal his or her screen name.  Please send e-mail to your friend to ask for his or her AOL Instant Messenger(SM) screen name.	Der von Ihnen eingeladene Internet-Freuend hat sich registriert, möchte jedoch seinen AIM-Namen nicht freigeben. Bitte schicken Sie Ihrem Freuend eine eMail, und bitten Sie ihn um seinen AOL Instant Messenger(SM) AIM-Namen.
Add Buddies	Buddies hinzufügen
New Group...	Neue Gruppe...
Please choose which group to add the buddies into:	Bitte geben Sie an, in welche Gruppe die Buddies hinzugefügt werden sollen:
Group name:	Gruppenname:
Buddies to add:	Hinzuzufügende Buddies:
NetFind	NetSuche
Go	OK
Find a Person	Eine Person suchen
Search the Web	Das Web durchsuchen
Find a Business	Eine Firma suchen
About...	Info über...
America Online holds the exclusive copyright for the AOL Instant Messenger (TM) software.\n\nA portion of this software is derived from the RSA Data Security, Inc. MD5 Message-Digest Algorithm.	America Online hält das exklusive Urheberrecht für die AOL Instant Messenger(TM)-Software.\n\nEin Teil dieser Software ist vom MD5 Message-Digest Algorithmus der RSA Data Security, Inc. abgeleitet.
Version \r\nCopyright	Version \r\nCopyright
Buddy	Buddies
Buddy List Font	Schriftart für Liste der Buddies
Size:	Größe:
Dim buddies after they have been idle for	Buddies abdunkeln, wenn sie seit
minutes	Minuten abwesend sind
Flash Buddy List window when buddies sign on or off	Liste aktualisieren, wenn Buddies sich an- oder abmelden
Show Taskbar button when Buddy List window is minimized	Taskbar-Schaltfläche zeigen, wenn Buddy-Liste auf Symbolgröße verkleinert ist
Buddy List window can be "docked" on left or right of screen	Buddy List window can be "docked" on left or right of screen
Privacy	Privatsphäre
Allow all users to contact me	Alle Benutzer zulassen
Allow only users on my Buddy List	Nur meine Buddies zulassen
Allow only the users below	Nur Namen auf der Liste zulassen
Block all users	Alle Benutzer sperren
Block the users below	Namen auf der Liste sperren
Allow List	Liste der freigegebenen Namen
Block List	Liste der gesperrten Namen
Add Name	Namen hinzufügen
... how long I've been idle	... wie lange ich inaktiv war
Who can contact me	Wer darf mit mir Kontakt aufnehmen
Allow users to see...	Andere Nutzer können sehen ...
Allow users who know my e-mail address to find...	Das sollen Nutzer, die meine eMail-Adresse kennen, finden:
My screen name	meinen AIM-Namen
Only that I have an account	die Information, daß ich über einen Zugang verfüge
Nothing about me	keine Informationen über mich
Sounds	Töne
Play a sound when buddies sign on	Ton beim Anmelden eines Buddys
Browse...	Durchsuchen
Play a sound when buddies sign off	Ton beim Abmelden eines Buddys
Buddy Sounds	Buddy-Töne
Play a sound when first message is received	Ton bei Erhalt der ersten Mitteilung
Play a sound when receiving a message	Ton bei Erhalt jeder Mitteilung
Play a sound when sending a message	Ton beim Abschicken einer Mitteilung
IM Sounds	Telegramm-Töne
Wizard	Assistent
<< Back	<< Zurück
Next >>	Weiter >>
Finish	Fertig stellen
PropertySheet	Eigenschaften
Error Info	Fehlerinformation
ATE	ATE
Printing in Progress...	Druckauftrag wird ausgeführt...
Recording in progress for maximum of 10 sec	Aufnahme dauert noch maximal 10 Sekunden
Send	Abschicken
Done	Abgeschlossen
Show Hyperlink	Hyperlink anzeigen
Hyperlink URL:	Hyperlink URL:
Launch	Starten
Edit Hyperlink	Hyperlink bearbeiten
Remove Link	Link entfernen
Hyperlink Text:	Hyperlink-Text:
Use Current	Aktuellen verwenden
Find	Suchen
Find What:	Suchen nach:
From Top	Von vorn
Match Case	Groß-/Kleinschr.
Direction	Suchrichtung
Up	Aufwärts
Down	Abwärts
Find Next	Weitersuchen
AOL Instant Messenger (SM)	AOL Instant Messenger(SM)
Do not ask me this again.	Nicht nocheinmal fragen.
Are you sure you want to end your session?	Sind Sie sicher, daß Sie die Sitzung\\nbeenden wollen?
Edit Current Picture Size	Bildgröße bearbeiten
Picture Width (pixels)	Bildbreite (Pixel)
Picture Height (pixels)	Bildhöhe (Pixel)
Picture Border (pixels)	Bildrand (Pixel)
Change Password	Passwort ändern
Current password:	Altes Passwort:
New password:	Neues Passwort:
To change your password, enter your current password and two copies of your new password below.  Your new password must be between 4 and 16 characters long.	Um Ihr Passwort zu ändern, geben Sie bitte Ihr neues Passwort zweimal ein. Das neue Passwort darf zwischen 4 und 16 Zeichen lang sein.
Format Screen Name	AIM-Namen formatieren
New screen name:	Neuer AIM-Name:
To change your screen name, enter your new screen name below.  The new screen name must be the same as the old, except for changes in capitalization and spacing.	Um Ihren AIM-Namen zu ändern, tragen Sie bitte den Namen im gewünschten Format in das Eingabefeld ein. Es ist möglich, die Formatierung zu ändern, jedoch nicht, einen neuen Namen anzulegen.
Update E-mail Address	eMail-Adresse ändern
To update your e-mail address, enter the new address below.  A confirmation e-mail, to which you must reply, will be sent to your new address.	Um Ihre eMail-Adresse zu ändern, tragen Sie die neue Adresse in das Eingabefeld ein. Sie erhalten eine Bestätigungs-eMail an Ihre neue Adresse. Bitte beantworten Sie diese eMail innerhalb von 72 Stunden.
Current e-mail address:	Alte eMail-Adresse:
New e-mail address:	Neue eMail-Adresse:
Status	Status
Error	Fehler
Information	Information
You currently have a temporary trial account.  To convert you account to a permanent account, click the OK button below.	Sie verfügen zur Zeit nur über einen Test-Zugang.\\r\\nUm diesen in einen permanenten Zugang umzuwandeln, klicken Sie bitte auf "OK".
General	Allgemein
Automatically sign on when AIM starts	Beim Starten von AIM automatisch anmelden
Start AIM when Windows starts	Beim Starten von Windows AIM starten
Notify me when a new version is available:	Notify me when a new version is available:
Internet Connection	Internet-Verbindung
Modem	Modem
Local area network	Lokales Netzwerk
IM	Telegramm
Enter key inserts Return	Enter-Taste fügt Wagenrücklauf ein.
Tab key inserts Tab	Tab-Taste fügt Tabulator ein.
Always view timestamp	Zeitstempel immer anzeigen
Disable graphical smilies	Grafische Smilies deaktivieren
Show 'Accept Message'	'Annehmen-Mitteilung' anzeigen
dialog for messages from users not in Buddy List	Dialog für Mitteilungen von Benutzern nicht in Buddy-Liste
Defaults for Composing Windows	Standardeinstellungen für Verfassungsfenster
Font...	Schriftart...
Window Color...	Fensterfarbe...
Text Magnification	Textvergrößerung
200	200
133	133
100	100
75	75
Save Buddy List	Buddy-Liste speichern
This feature allows you to save your Buddy List, current preferences, etc. as a text file that you can later import to restore this configuration on any computer.	Mit dieser Funktion können Sie die Liste Ihrer Buddies, AIM-Einstellungen usw. als Textdatei speichern. So ist es möglich, diese Konfiguration auf jedem Computer wiederherzustellen.
Check the items you would like to save below:	Markieren Sie die Einträge, die Sie speichern möchten:
Load Buddy List	Liste öffnen
Load	Öffnen
This feature is used to load settings, such as your Buddy List and preferences, that were previously saved as a text file.	Mit dieser Funktion können Einstellungen geöffnet werden wie z. B. die Liste Ihrer Buddies und AIM-Einstellungen, die zuvor als Textdatei gespeichert wurden.
Check the items you would like to load below:	Markieren Sie die Einträge, die Sie öffnen möchten:
Import/Export File Association	Dateiverknüpfung importieren/exportieren
Don't ask this question again	Diese Frage nicht nochmal stellen
Would you like to associate .blt files with AOL Instant Messenger (SM)?	Möchten Sie .blt-Dateien mit AOL Instant Messenger(SM) verknüpfen?
Type :	Typ :
Open Command :	Öffnen-Befehl :
Content Type :	Inhalttyp :
AOL Instant Messenger uses "blt" as the filename extension for its Import/Export files. If you would like to use AOL Instant Messenger when opening these files click Yes. If you would like leave the association as is, click No.	AOL Instant Messenger verwendet "blt" als Dateinamenerweiterung für seine Import-/Exportdateien. Wenn Sie beim Öffnen dieser Dateien AOL Instant Messenger verwenden möchten, klicken Sie auf "Ja". Um die Verknüpfung unverändert zu belassen, klicken Sie auf "Nein".
Files with a filename extension of "blt" are currently associated with another application by Windows as shown below:	Dateien mit der Dateinamenerweiterung "blt" werden von Windows derzeit mit einer anderen Anwendung verknüpft. Siehe unten:
Select Directory	Verzeichnis wählen
Read Only	Schreibgeschützt
Select a Folder:	Einen Ordner wählen:
Drives:	Laufwerke:
Browser Path	Verzeichnispfad Browser
Enter the path of the browser that you would like to use for viewing Web documents.	Geben Sie den Verzeichnispfad des Browsers ein, den Sie zum Anzeigen von Webseiten verwenden möchten.
E-mail Program Path	Verzeichnispfad eMail-Programm
Enter the path of the e-mail program that you would like to use for sending e-mail.	Geben Sie den Verzeichnispfad des eMail-Programms an, das Sie verwenden möchten.
AOL Program Path	AOL Programmpfad
If America Online is installed on this\r\ncomputer enter the path of the program (AOL.EXE) below.	Falls AOL auf Ihrem Computer installiert ist, geben\r\nSie bitte den Verzeichnispfad (AOL.EXE) an.
Missed Call	Telegramm nicht angekommen
You missed one or more messages from other users.  Below is a list of those users and the reasons that the messages failed to reach you.	Sie haben Mitteilungen von anderen Benutzern nicht erhalten. Die nachstehende Liste enthält diese Benutzer sowie Gründe, weshalb die Mitteilung Sie nicht erreicht hat.
Send Warning	Warnung verschicken
Check this if you don't want your screen name revealed.  Anonymous warnings are less severe.	Aktivieren Sie dieses Kontrollkästchen, wenn Sie Ihren Namen nicht bekannt geben möchten. Anonyme Warnungen sind weniger schwerwiegend.
Warn anonymously	Anonym warnen
Warn	Warnen
Unsupported Rendezvous Request	Nichtunterstützte Kontaktaufnahme
Click on the following URL to find out more about the unsupported service	Klicken Sie auf die folgende URL, um mehr über den nicht unterstützten Service zu erfahren
Warning: The following URL contains more info about this service, but it may contain objectionable material; make sure you know and trust your buddy	Warnung: Die folgende URL enthält möglicherweise anstößigen Inhalt. Stellen Sie sicher, daß Sie Ihren Buddy kennen und ihm vertrauen.
Accept Message	Mitteilung annehmen
Don't display this dialog again.	Diese Seite nicht mehr anzeigen
User "%s" has sent you a message.\nWould you like to accept it?	Der Benutzer "%s" hat Ihnen eine Mitteilung geschickt.\nMöchten Sie sie annehmen?
Warning level: %d%%	Warnebene %d%%
AIM administrators will never ask you for your password or other personal information.  Do not give such information to anyone you don't know and trust!	AOL-Mitarbeiter werden Sie niemals nach Ihrem Passwort oder anderen persönlichen Informationen fragen. Geben Sie solche Informationen nicht an unbekannte Personen weiter!
%s:	%s:
My Info	Über mich
Enter text for your personal profile below:	Tragen Sie den Text für Ihr persönliches Profil hier ein:
Away	Abwesenheit
When idle:	Wenn Sie inaktiv sind:
Auto respond with message:	Automatisch mit Mitteilung antworten:
When away:	Bei Abwesenheit:
Auto respond and insert in personal profile	Automatisch antworten und in persönliches Profil einfügen
